Sample_name	Cell_line
ENCFF442WNS	Brain
ENCFF443DUZ	Common myeloid progenitor, CD34-positive
ENCFF443LGC	Heart
ENCFF445DFQ	Placental basal plate
ENCFF446GWX	SK-N-MC
ENCFF448CLX	B cell
ENCFF451YEU	CD4-positive, alpha-beta T cell
ENCFF459ESD	Mononuclear cell
ENCFF460VIH	GM12878
ENCFF462DKM	NCI-H929
ENCFF462LGP	Skeletal muscle myoblast
ENCFF464IUG	H1
ENCFF468WWR	Panc1
ENCFF471NKK	H7
ENCFF474AMK	A549 treated with 100 nM dexamethasone for 1 hour
ENCFF477ADG	IMR-90
ENCFF480DUE	GM12864
ENCFF482MWT	Aorta
ENCFF484SSV	UCSF-4
ENCFF486RQK	Mammary epithelial cell
ENCFF489CEO	H9
ENCFF489RQG	HCT116
ENCFF496TMK	Effector memory CD4-positive, alpha-beta T cell
ENCFF496WUV	IPS DF 19.11
ENCFF497MBS	Pancreas
ENCFF500HWL	SK-N-SH
ENCFF513NXL	Loucy
ENCFF517KFL	Skeletal muscle cell
ENCFF518ODN	Foreskin keratinocyte
ENCFF520MST	Thymus
ENCFF523QIY	HEK293
ENCFF525HAY	Amnion
ENCFF525QEU	Large intestine
ENCFF533CPZ	Chorion
ENCFF534PLG	Panc1
ENCFF538JPM	Neural stem progenitor cell
ENCFF542GBR	HeLa-S3
ENCFF547LOQ	GM06990
ENCFF551FEL	Mesodermal cell
ENCFF555YXZ	Osteoblast
ENCFF557ORO	Muscle of trunk
ENCFF557UBZ	T-cell
ENCFF557ZZJ	SK-N-MC
ENCFF564TFF	Mid-neurogenesis radial glial cells
ENCFF567GMK	Sigmoid colon
ENCFF571ARS	Naive thymus-derived CD4-positive, alpha-beta T cell
ENCFF574YDV	Thyroid gland
ENCFF576SCQ	Body of pancreas
ENCFF585YXL	Chorion
ENCFF591URJ	IMR-90
ENCFF595PPS	Regulatory T cell
ENCFF600ETT	B cell
ENCFF603MPP	Spleen
ENCFF606ETW	Neutrophil
ENCFF608HZF	Mesenchymal stem cell
ENCFF610TIN	A549
ENCFF614FXN	Endocrine pancreas adult 
ENCFF622KYJ	H1
ENCFF623HWH	MM.1S
ENCFF623XGW	Common myeloid progenitor, CD34-positive
ENCFF624FWE	Retinal pigment epithelial cell
ENCFF627TCC	GM08714
ENCFF627VKQ	AG09309
ENCFF629RGG	Skeletal muscle myoblast
ENCFF634RUG	Keratinocyte
ENCFF637OIU	WI38
ENCFF641WRD	Adrenal gland
ENCFF641XKN	MCF-7
ENCFF642GQC	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin
ENCFF646JJX	AG04449
ENCFF647IAX	Mammary epithelial cell
ENCFF650EWL	Placental basal plate
