Sample_ID	Sample_illustration
HCC515_LUNG	NA NA
HCC56_LARGE_INTESTINE	Large_intestine carcinoma
HCC70_BREAST	Breast carcinoma
HCC78_LUNG	Lung carcinoma
HCC827GR5_LUNG	Lung carcinoma
HCC827_LUNG	Lung carcinoma
HCC95_LUNG	Lung carcinoma
HCT116_LARGE_INTESTINE	Large_intestine carcinoma
HCT15_LARGE_INTESTINE	Large_intestine carcinoma
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HDQP1_BREAST	Breast carcinoma
HEC108_ENDOMETRIUM	Endometrium carcinoma
HEC151_ENDOMETRIUM	Endometrium carcinoma
HEC1A_ENDOMETRIUM	Endometrium carcinoma
HEC1B_ENDOMETRIUM	Endometrium carcinoma
HEC251_ENDOMETRIUM	Endometrium carcinoma
HEC265_ENDOMETRIUM	Endometrium carcinoma
HEC50B_ENDOMETRIUM	Endometrium carcinoma
HEC59_ENDOMETRIUM	Endometrium carcinoma
HEC6_ENDOMETRIUM	Endometrium carcinoma
HEKTE_KIDNEY	Kidney other
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HELA_CERVIX	NA NA
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HEP3B217_LIVER	Liver carcinoma
HEPG2_LIVER	Liver carcinoma
HEYA8_OVARY	Ovary carcinoma
HGC27_STOMACH	Stomach carcinoma
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HLFA_FIBROBLAST	Lung carcinoma
HLF_LIVER	Liver carcinoma
HMC18_BREAST	Breast carcinoma
HMCB_SKIN	Skin malignant_melanoma
HMEL_BREAST	Breast other
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
HOP62_LUNG	Lung carcinoma
HOP92_LUNG	Lung carcinoma
HOS_BONE	Bone osteosarcoma
HPAC_PANCREAS	Pancreas carcinoma
HPAFII_PANCREAS	Pancreas carcinoma
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HS172T_FIBROBLAST	Urinary_tract carcinoma
HS229T_FIBROBLAST	Lung carcinoma
HS255T_FIBROBLAST	Large_intestine carcinoma
HS274T_FIBROBLAST	Breast carcinoma
HS281T_FIBROBLAST	Breast carcinoma
HS294T_SKIN	Skin malignant_melanoma
HS343T_FIBROBLAST	Breast carcinoma
HS578T_BREAST	Breast carcinoma
HS600T_FIBROBLAST	Skin malignant_melanoma
HS606T_FIBROBLAST	Breast carcinoma
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HS616T_FIBROBLAST	Haematopoietic_and_lymphoid_tissue
HS618T_FIBROBLAST	Lung carcinoma
HS675T_FIBROBLAST	Large_intestine carcinoma
HS683_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
HS688AT_FIBROBLAST	Skin malignant_melanoma
HS695T_SKIN	Skin malignant_melanoma
HS698T_FIBROBLAST	Large_intestine carcinoma
HS706T_BONE	Bone giant_cell_tumour
HS729_SOFT_TISSUE	Soft_tissue
HS737T_FIBROBLAST	Bone giant_cell_tumour
HS739T_FIBROBLAST	Breast carcinoma
HS742T_FIBROBLAST	Breast carcinoma
HS746T_STOMACH	Stomach carcinoma
HS751T_FIBROBLAST	Haematopoietic_and_lymphoid_tissue
HS766T_PANCREAS	Pancreas carcinoma
HS819T_FIBROBLAST	Bone chondrosarcoma
HS821T_FIBROBLAST	Bone giant_cell_tumour
HS822T_FIBROBLAST	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HS834T_FIBROBLAST	Skin malignant_melanoma
HS839T_FIBROBLAST	Skin malignant_melanoma
HS840T_FIBROBLAST	Upper_aerodigestive_tract other
HS852T_SKIN	Skin malignant_melanoma
HS863T_FIBROBLAST	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HS870T_FIBROBLAST	Bone osteosarcoma
HS888T_FIBROBLAST	Bone osteosarcoma
HS895T_FIBROBLAST	Skin malignant_melanoma
HS934T_FIBROBLAST	Skin malignant_melanoma
HS936T_SKIN	Skin malignant_melanoma
HS939T_SKIN	Skin malignant_melanoma
HS940T_FIBROBLAST	Skin malignant_melanoma
HS944T_SKIN	Skin malignant_melanoma
HSC2_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
