Sample_ID	Sample_illustration
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SW1088_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SW1116_LARGE_INTESTINE	Large_intestine carcinoma
SW1271_LUNG	Lung carcinoma
SW1353_BONE	Bone chondrosarcoma
SW1417_LARGE_INTESTINE	Large_intestine carcinoma
SW1463_LARGE_INTESTINE	Large_intestine carcinoma
SW1573_LUNG	Lung carcinoma
SW1710_URINARY_TRACT	Urinary_tract carcinoma
SW1783_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SW1990_PANCREAS	Pancreas carcinoma
SW403_LARGE_INTESTINE	Large_intestine carcinoma
SW480_LARGE_INTESTINE	Large_intestine carcinoma
SW48_LARGE_INTESTINE	Large_intestine carcinoma
SW579_THYROID	Thyroid carcinoma
SW620_LARGE_INTESTINE	Large_intestine carcinoma
SW780_URINARY_TRACT	Urinary_tract carcinoma
SW837_LARGE_INTESTINE	Large_intestine carcinoma
SW900_LUNG	Lung carcinoma
SW948_LARGE_INTESTINE	Large_intestine carcinoma
T173_FIBROBLAST	Bone osteosarcoma
T24_URINARY_TRACT	Urinary_tract carcinoma
T3M10_LUNG	Lung carcinoma
T3M4_PANCREAS	Pancreas carcinoma
T47D_BREAST	Breast carcinoma
T84_LARGE_INTESTINE	Large_intestine carcinoma
T98G_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
TC71_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
TCCPAN2_PANCREAS	Pancreas carcinoma
TCCSUP_URINARY_TRACT	Urinary_tract carcinoma
TE10_OESOPHAGUS	Oesophagus carcinoma
TE11_OESOPHAGUS	Oesophagus carcinoma
TE125T_FIBROBLAST	Soft_tissue
TE14_OESOPHAGUS	Oesophagus carcinoma
TE159T_FIBROBLAST	Soft_tissue
TE15_OESOPHAGUS	Oesophagus carcinoma
TE1_OESOPHAGUS	Oesophagus carcinoma
TE441T_SOFT_TISSUE	Soft_tissue
TE4_OESOPHAGUS	Oesophagus carcinoma
TE5_OESOPHAGUS	Oesophagus carcinoma
TE617T_SOFT_TISSUE	Soft_tissue
TE6_OESOPHAGUS	Oesophagus carcinoma
TE8_OESOPHAGUS	Oesophagus carcinoma
TE9_OESOPHAGUS	Oesophagus carcinoma
TEN_ENDOMETRIUM	Endometrium carcinoma
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
TGBC11TKB_STOMACH	Stomach carcinoma
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
TIG3TD_FIBROBLAST	Lung other
TM31_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
TM87_SOFT_TISSUE	NA NA
TO175T_FIBROBLAST	Haematopoietic_and_lymphoid_tissue
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
TOV112D_OVARY	Ovary carcinoma
TOV21G_OVARY	Ovary carcinoma
TT2609C02_THYROID	Thyroid carcinoma
TTC1240_SOFT_TISSUE	NA NA
TTC549_SOFT_TISSUE	NA NA
TTC642_SOFT_TISSUE	NA NA
TTC709_SOFT_TISSUE	NA NA
TT_OESOPHAGUS	NA NA
TT_THYROID	Thyroid carcinoma
TUHR10TKB_KIDNEY	Kidney carcinoma
TUHR14TKB_KIDNEY	Kidney carcinoma
TUHR4TKB_KIDNEY	Kidney carcinoma
TYKNU_OVARY	Ovary carcinoma
U118MG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
U178_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
U251MG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
U2OS_BONE	Bone osteosarcoma
U343_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
U87MG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
UACC257_SKIN	Skin malignant_melanoma
UACC62_SKIN	Skin malignant_melanoma
UACC812_BREAST	Breast carcinoma
UACC893_BREAST	Breast carcinoma
UBLC1_URINARY_TRACT	Urinary_tract carcinoma
UMUC1_URINARY_TRACT	Urinary_tract carcinoma
UMUC3_URINARY_TRACT	Urinary_tract carcinoma
UO31_KIDNEY	Kidney carcinoma
UOK101_KIDNEY	Kidney carcinoma
VCAP_PROSTATE	Prostate carcinoma
VMCUB1_URINARY_TRACT	Urinary_tract carcinoma
VMRCRCW_KIDNEY	Kidney carcinoma
VMRCRCZ_KIDNEY	Kidney carcinoma
WM115_SKIN	Skin malignant_melanoma
WM1799_SKIN	Skin malignant_melanoma
WM2664_SKIN	Skin malignant_melanoma
WM793_SKIN	Skin malignant_melanoma
WM88_SKIN	Skin malignant_melanoma
WM983B_SKIN	Skin malignant_melanoma
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
YAPC_PANCREAS	Pancreas carcinoma
YD10B_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
YD15_SALIVARY_GLAND	Salivary_gland carcinoma
YD38_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
YD8_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
YH13_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
YKG1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
ZR751_BREAST	Breast carcinoma
ZR7530_BREAST	Breast carcinoma
